"","variable","trt","X1.VS.4","X1.VS.3","X2.VS.4","X2.VS.3","X3.VS.4"
"1","latency","Hot-Control (n = 20)","5955
 
[5588 , 159372]","72125
 
[1925 , 207455]","6228
 
[7423 , 144722]","66635
 
[8463 , 23117]","7422
 
[7133 , 234485]"
"2","latency","Hot-CORT (n = 20)","12357
 
[25798 , 448392]","10115
 
[20312 , 237973]","8524
 
[11538 , 252757]","8409
 
[982 , 252495]","136025
 
[14543 , 613173]"
"3","latency","Cold_Control (n = 20)","66335
 
[8493 , 26057]","72995
 
[928 , 309977]","6305
 
[941 , 250082]","575
 
[7075 , 167995]","49115
 
[2463 , 191557]"
"4","latency","Cold_CORT (n = 20)","88025
 
[2975 , 455785]","7603
 
[6008 , 34934]","703
 
[3088 , 352277]","96215
 
[3593 , 474752]","103105
 
[1988 , 410682]"
"5","choice","Hot-Control (n = 20)","8","12","10","7","13"
"6","choice","Hot-CORT (n = 20)","11","15","9","9","11"
"7","choice","Cold_Control (n = 20)","10","13","10","15","12"
"8","choice","Cold_CORT (n = 20)","8","9","11","12","9"
"9","interest","Hot-Control (n = 20)","-65
 
[-12697 , 16307]","-1068
 
[-1809 , 11325]","66
 
[-8505 , 1623]","-311
 
[-11862 , 5662]","1205
 
[-1866 , 22885]"
"10","interest","Hot-CORT (n = 20)","-1511
 
[-15265 , 6145]","2865
 
[-15227 , 18565]","-1274
 
[-1208 , 182]","168
 
[-1084 , 12055]","-1571
 
[-148 , 844]"
"11","interest","Cold_Control (n = 20)","-275
 
[-14142 , 20465]","-305
 
[-15255 , 17907]","-395
 
[-14212 , 104]","2725
 
[-7738 , 130]","2155
 
[-101 , 16422]"
"12","interest","Cold_CORT (n = 20)","129
 
[-18815 , 19567]","-1415
 
[-2038 , 12302]","176
 
[-10578 , 18617]","-468
 
[-11905 , 798]","-2484
 
[-1828 , 7495]"
